Site_Name,lat,lon,Time,Small,Medium,Large,MW_Total,Barb_passes,PIP_passes,PYG_passes,NOC_passes,Plecotus_passes,Nath_passes,Total_Bats,Total_Inv,Species_P_Trap,Species_P_Site,Total_Inv_P_Site,timenum,type
Gantry1,52.695083,1.178786,start,11,12,2,25,3,70,34,11,8,0,126,2,2,4,,1,Established Gantry
Gantry1,52.695083,1.178786,mid,6,3,5,14,3,70,34,11,8,0,126,2,2,4,,2,Established Gantry
Gantry1,52.695083,1.178786,end,3,6,3,12,3,70,34,11,8,0,126,2,2,4,,3,Established Gantry
Gantry2,,,start,25,15,6,46,27,187,8,6,18,2,248,7,4,4,,1,Established Gantry
Gantry2,,,mid,0,9,6,15,27,187,8,6,18,2,248,7,4,4,,2,Established Gantry
Gantry2,,,end,0,7,4,11,27,187,8,6,18,2,248,7,4,4,,3,Established Gantry
GreenBridge,,,start,83,15,10,108,2,344,51,2,1,0,400,3,2,5,,1,Green Bridge
GreenBridge,,,mid,12,14,8,34,2,344,51,2,1,0,400,3,2,5,,2,Green Bridge
GreenBridge,,,end,12,12,4,28,2,344,51,2,1,0,400,3,2,5,,3,Green Bridge
,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,3,
Gantry4,,,start,32,18,14,64,4,432,24,47,2,0,509,14,3,4,,1,Established Gantry
Gantry4,,,mid,,,,34,4,432,24,47,2,0,509,14,3,4,,2,Established Gantry
Gantry4,,,end,,,,14,4,432,24,47,2,0,509,14,3,4,,3,Established Gantry
Gantry5,,,start,,,,64,0,4,2,19,0,0,25,5,3,5,,1,Established Gantry
Gantry5,,,mid,,,,31,0,4,2,19,0,0,25,5,3,5,,2,Established Gantry
Gantry5,,,end,4,6,6,16,0,4,2,19,0,0,25,5,3,5,,3,Established Gantry
Gantry6,,,start,,,,32,0,67,12,17,3,0,99,1,1,3,,1,Established Gantry
Gantry6,,,mid,,,,28,0,67,12,17,3,0,99,1,1,3,,2,Established Gantry
Gantry6,,,end,,,,16,0,67,12,17,3,0,99,1,1,3,,3,Established Gantry
Gantry7,,,start,26,4,2,32,4,638,557,1,0,16,1216,3,3,4,,1,Established Gantry
Gantry7,,,mid,20,14,4,38,4,638,557,1,0,16,1216,3,3,4,,2,Established Gantry
Gantry7,,,end,7,5,4,16,4,638,557,1,0,16,1216,3,3,4,,3,Established Gantry
ASP4,,,start,11,1,0,12,0,59,76,3,6,1,145,0,0,0,,1,Random
ASP4,,,mid,8,3,0,11,0,59,76,3,6,1,145,0,0,0,,2,Random
ASP4,,,end,9,1,0,10,0,59,76,3,6,1,145,0,0,0,,3,Random
GreenBridgeS,52.693916,1.204407,start,12,4,0,16,1,571,699,3,2,0,1276,0,0,5,,1,Green Bridge
GreenBridgeS,52.693916,1.204407,mid,3,1,3,7,1,571,699,3,2,0,1276,0,0,5,,2,Green Bridge
GreenBridgeS,52.693916,1.204407,end,4,1,1,6,1,571,699,3,2,0,1276,0,0,5,,3,Green Bridge
RoyalHillAR5,,,start,4,0,1,5,0,,,,,,26,2,2,5,,1,Ringland and Weston Longville
RoyalHillAR5,,,mid,8,0,4,12,0,,,,,,26,2,2,5,,2,Ringland and Weston Longville
RoyalHillAR5,,,end,3,1,0,4,0,,,,,,26,2,2,5,,3,Ringland and Weston Longville
TheStreetAR6,,,start,4,0,1,5,2,,,,,,130,0,0,0,,1,Ringland and Weston Longville
TheStreetAR6,,,mid,3,1,0,4,2,,,,,,130,0,0,0,,2,Ringland and Weston Longville
TheStreetAR6,,,end,2,1,0,3,2,,,,,,130,0,0,0,,3,Ringland and Weston Longville
Dino5,52.71423,1.11643,start,5,0,2,7,127,,,,,,375,1,1,5,,1,Ringland and Weston Longville
Dino5,52.71423,1.11643,mid,4,1,2,7,127,,,,,,375,1,1,5,,2,Ringland and Weston Longville
Dino5,52.71423,1.11643,end,1,2,3,6,127,,,,,,375,1,1,5,,3,Ringland and Weston Longville
Golf1,52.711356,1.134358,start,6,3,0,13,213,,,,,,332,1,1,3,,1,Ringland and Weston Longville
Golf1,52.711356,1.134358,mid,3,9,0,12,213,,,,,,332,1,1,3,,2,Ringland and Weston Longville
Golf1,52.711356,1.134358,end,,,,,213,,,,,,332,1,1,3,,3,Ringland and Weston Longville
Golf2,52.708792,1.128677,start,9,4,3,16,6,,,,,,87,2,2,3,,1,Ringland and Weston Longville
Golf2,52.708792,1.128677,mid,3,5,4,12,6,,,,,,87,2,2,3,,2,Ringland and Weston Longville
Golf2,52.708792,1.128677,end,,,,,6,,,,,,87,2,2,3,,3,Ringland and Weston Longville
Golf3,52.710509,1.125204,start,6,3,0,9,18,,,,,,251,0,0,3,,1,Ringland and Weston Longville
Golf3,52.710509,1.125204,mid,7,2,0,9,18,,,,,,251,0,0,3,,2,Ringland and Weston Longville
Golf3,52.710509,1.125204,end,,,,,18,,,,,,251,0,0,3,,3,Ringland and Weston Longville
Golf4,52.710723,1.119885,start,6,0,0,6,,,,,,,,0,0,3,,1,Ringland and Weston Longville
Golf4,52.710723,1.119885,mid,9,3,0,12,,,,,,,,0,0,3,,2,Ringland and Weston Longville
Golf4,52.710723,1.119885,end,,,,,,,,,,,,0,0,3,,3,Ringland and Weston Longville
Ringland1,52.690784,1.14886,start,,,,,94,,,,,,378,2,1,1,,1,Ringland and Weston Longville
Ringland1,52.690784,1.14886,mid,,,,,94,,,,,,378,2,1,1,,2,Ringland and Weston Longville
Ringland1,52.690784,1.14886,end,,,,,94,,,,,,378,2,1,1,,3,Ringland and Weston Longville
Ringland2,52.69381,1.146023,start,,,,,2,,,,,,75,0,0,0,,1,Ringland and Weston Longville
Ringland2,52.69381,1.146023,mid,,,,,2,,,,,,75,0,0,0,,2,Ringland and Weston Longville
Ringland2,52.69381,1.146023,end,,,,,2,,,,,,75,0,0,0,,3,Ringland and Weston Longville
Ringland3,52.693767,1.156438,start,0,0,2,2,9,,,,,,311,2,2,2,,1,Ringland and Weston Longville
Ringland3,52.693767,1.156438,mid,0,1,0,1,9,,,,,,311,2,2,2,,2,Ringland and Weston Longville
Ringland3,52.693767,1.156438,end,0,0,0,0,9,,,,,,311,2,2,2,,3,Ringland and Weston Longville
C11 -,52.7018,1.158556,start,,,,12,18,,,,,,1289,5,4,4,,1,Ringland and Weston Longville
C12 -,52.697663,1.165986,start,,,,2,2,,,,,,861,1,1,1,,1,Ringland and Weston Longville
R1 -,52.682882,1.136875,start,,,,10,2,,,,,,377,2,2,2,,1,Random
R2 -,52.693946,1.137877,start,,,,6,1,,,,,,27,0,0,0,,1,Random
R3 -,52.703701,1.133424,start,,,,21,4,,,,,,302,3,3,3,,1,Random
R7 -,52.71242,1.136621,start,,,,0,2,,,,,,687,0,0,0,,1,Ringland and Weston Longville
R9 -,52.716754,1.11348,start,,,,11,9,,,,,,322,3,1,1,,1,Ringland and Weston Longville
R10 -,52.707104,1.121185,start,,,,4,8,,,,,,206,0,0,0,,1,Ringland and Weston Longville
R11 -,52.699463,1.161233,start,,,,9,0,,,,,,26,5,5,5,,1,Ringland and Weston Longville
